Feedback,professor
무난함,김윤경
이번학기부터 강의 시작한 강사인건지 인지도 없는 것 같은데 들을만함,김윤경
갓주강.. 진짜 꼭 들어보세요!! 진짜 많은걸 배웠어요,이주강
수업은 교수님이  보여주시는 동영상 속 질문들에 대해 조를 만들어서 논의하고 수업이 끝나기 전에 자신의 생각을 적은 종이를 제출하는 식으로 진행이 됩니다ㅎ 가끔 가다가 발표를 할 때도 있지만 그냥 자기가 적은 종이 읽기만 하면 되는거라 괜찮아요!,이주강
과제는 주어진  범위에서 자기의 생각이나 경험 등을 토대로 한 글을 아이캠퍼스에다가 올리기만 하면 됩니다. 이것도 몇번 안 했어요! 교수님이 공지하셨을 때만 하면 되는거고 자기 경험이랑 연관지어 쓰면 되는거라 쉬우실 거예요,이주강
중간고사 때는 ppt에 시험내용 다 적어주셨는데 밑에분들 말씀처럼 기말고사 때는 ppt에서 중요한 내용 지우시니까 미리미리 찍어두시고요ㅠㅠ 국제어수업이라 영어로 답을 써야하나 했지만 한글로 써도 괜찮다 해주십니다!,이주강
수업내용 자체가 '모든 사람은 다 완벽하다' 로 이어지고  교수님이 진짜 진짜 좋으십니다ㅠ,이주강
나중에 기말따 미리 말 안하고 피피티에서 중요한 내용 빼고 올립니다 그러니까 미리미리 사진 꼭 찍어두세요 그거 빼면 셤 배운데서 다나오고 교수님 참 좋으십니다,이주강
이것만 외우세요 All human nature is PERFECT,이주강
성선설을 기반으로 한학기 수업을 하시는데 주변친구들 얘기를 들어보니 정말 성논은 이주강교수님이 최고입니다 학점은 비율을 맞춰서 주시는것 같지만 일단 수업자체가 너무 좋아서 성논은 무조건 이거들으세요.,이주강
이번학기  최고 수업이었어요!! 대학교 와서 이렇게 힐링 받는 수업도 처음이었던 것 같아요 이런 수업 정말 앞으로 다시 듣기 힘들 것 같아요 수강신청 꼭 성공하세요,이주강
"출결은 항상 직접 호명하시고, 과제는 논어의 가르침 중에서 2개 이상을 골라 5줄 이상 쓰는 게 다예요. 원래 수업계획서에는 격주마다 쓰는 걸로 돼있었는데, 실제로는 3번인가 4번 정도밖에 안 썼습니다. ",이주강
"교수님이 수업하시는 내용 중에 가장 핵심인 건 '인간은 완벽하다' 인데, 그 구절을 굉장히 강조하시는 편이에요. 시험은 중간 기말 두 번인데, 시험 치기 전에 대략적으로 알려주십니다. 그런데 기말고사 때는 교안에서 몇몇 부분을 지우고 업로드 하셨어요. 아마 교안에서 몇 개 삭제한다면 그렇게 한다고 말씀은 하실텐데, 그 때부터는 수업 집중하셔서 들으시는 게 좋아요.",이주강
인간은 모두 완벽합니다. 들으세요. 정말 갓갓입니다. 정말 최고의 논어수업.,이주강
아래 강의평들 많죠? 다 진짭니다 무조건 들으세요,이주강
외않들어?????? 외쳐 갓주강!!! 교수님 정말 좋으시고 학점도 잘 주시고 강의력도 좋으심 더 말하기 입 아플 정도로 완벽한 수업 진짜 최고 갓주강갓주강,이주강
이주강 교수님의 성균논어 수업을 한 문장으로 표현하자면 ,이주강
인간은 존재에 있어서 완벽하다.,이주강
로 표현할 수 있습니다.,이주강
이 한 문장을 성균논어와 각종 자료들을 통해 한학기 내내 깔끔하게 잘 설명하시는것 같습니다.,이주강
"처음에는 국제어 수업이라고 해서 걱정을 많이 했는데, 논어의 각종 어록을 생각없이 외우는 다른 교수님과 달리 이주강 교수님의 수업은 생각을 해보고, 이에 따른 비판적 생각을 기를 수 있는 유익한 수업이었습니다.",이주강
"시험과 과제 자체도 부담을 주시지 않으려고 사전에 다 알려주시고, 실제로 시험 자체도 생각을 물어보는 문제가 많았습니다. ",이주강
만약 듣는 학기에 이주강 교수님 수업이 열린다면 꼭 들으세요.,이주강
