,count,word
0,523,수업
1,383,교수
2,291,시험
3,229,것
4,209,거
5,192,논어
6,189,과제
7,179,발표
8,160,문제
9,155,생각
10,141,번
11,126,학점
12,123,시간
13,116,수
14,109,분
15,107,학생
16,96,때
17,94,강의
18,90,중간
19,90,팀
20,89,내용
21,89,기말
22,89,플
23,86,부담
24,83,게
25,75,중
26,74,하나
27,72,학기
28,64,토론
29,62,점수
30,61,정도
31,61,듯
32,60,말
33,55,추천
34,51,한자
35,51,개
36,51,책
37,50,사람
38,49,공부
39,49,자기
40,48,건
41,47,논술
42,46,점
43,46,에세이
44,44,성적
45,42,출석
46,42,말씀
47,42,주제
48,41,중요
49,39,저
50,39,때문
51,37,자신
52,37,조
53,37,조별
54,36,부분
55,35,기말고사
56,35,글
57,34,서술
58,34,준비
59,33,자체
60,32,전
61,31,중간고사
62,30,성
63,30,데
64,29,구절
65,26,꿀
66,26,참여
67,25,기준
68,25,균
69,25,진행
70,25,명
71,24,개인
72,24,평가
73,24,교재
74,23,설명
75,23,걸
76,22,인성
77,21,수강
78,21,그것
79,21,암기
80,21,끝
81,21,과목
82,21,편
83,21,제출
84,21,최고
85,20,평소
86,20,비율
87,20,내
88,19,만
89,19,관련
90,19,글쓰기
91,19,이상
92,19,기간
93,19,방식
94,19,느낌
95,18,레포트
96,18,서술형
97,18,이번
98,18,이
99,18,주
100,17,캠
101,17,질문
102,17,자료
103,17,의견
104,17,마음
105,17,오픈
106,16,기억
107,16,필요
108,16,식
109,16,날
110,16,출결
111,16,의미
112,16,인의예지
113,16,피피티
114,16,요약
115,15,줄
116,15,강
117,15,정리
118,15,노력
119,15,장
120,14,이름
121,14,위주
122,14,이해
123,14,작성
124,14,분량
125,14,나
126,14,답
127,14,결석
128,14,배려
129,14,지식
130,14,북
131,13,고전
132,13,열정
133,13,그
134,13,학우
135,13,대체
136,13,본인
137,13,처음
138,13,앞
139,13,감점
140,13,자유
141,13,마지막
142,12,친절
143,12,이거
144,12,뭔가
145,12,약술
146,12,하루
147,12,이것
148,12,대학
149,12,에이
150,12,강조
151,12,교안
152,12,집중
153,12,나름
154,12,일
155,12,변별력
156,12,제
157,12,스피치
158,12,이야기
159,12,한문
160,12,걱정
161,11,개념
162,11,인간
163,11,얘기
164,11,사회
165,11,출제
166,11,뭐
167,11,이게
168,11,뭘
169,11,지각
170,11,답안
171,11,반영
172,10,선택
173,10,주관식
174,10,해석
175,10,가지
176,10,튀
177,10,난
178,10,경우
179,10,계절
180,10,인
181,10,성격
182,10,예상
183,10,등
184,10,만점
185,10,동안
186,10,필기
187,9,바탕
188,9,뒤
189,9,강추
190,9,전반
191,9,사상
192,9,짓
193,9,만큼
194,9,대부분
195,9,애
196,9,교양
197,9,무엇
198,9,다음
199,9,나중
200,9,뿐
201,9,가능
202,9,채점
203,9,감상문
204,9,정치
205,8,태도
206,8,필수
207,8,유학
208,8,발표자
209,8,참고
210,8,이유
211,8,지
212,8,도
213,8,씨
214,8,신청
215,8,그거
216,8,매주
217,7,뜻
218,7,종
219,7,프린트
220,7,노
221,7,기분
222,7,겁니다
223,7,비추
224,7,진도
225,7,걸로
226,7,시작
227,7,경험
228,7,시
229,7,칸
230,7,핵
231,7,나머지
232,7,조원
233,7,평균
234,7,자서전
235,7,짜증
236,7,핸드폰
237,6,폰
238,6,자리
239,6,제외
240,6,기대
241,6,아이
242,6,토대
243,6,가산점
244,6,핵심
245,6,이틀
246,6,적극
247,6,눈
248,6,부족
249,6,거기
250,6,우리
251,6,소리
252,6,산
253,6,연관
254,6,체계
